Time  1 - default sample rate [s]	FS22DI_1_NTP_TIME [s]	FS22DI_1_DIAG_SEQ_NUMBER []	A1 [nm]	A2 [nm]	A3 [nm]	A4 [nm]	A5 [nm]	A6 [nm]	A7 [nm]	AT [°C]	B1 [nm]	B2 [nm]	B3 [nm]	B4 [nm]	B5 [nm]	B6 [nm]	B7 [nm]	B8 [nm]	B9 [nm]	B10 [nm]	B11 [nm]	B12 [nm]	B13 [nm]	B14 [nm]	B15 [nm]	BT [°C]	D1 [nm]	D2 [nm]	D3 [nm]	D4 [nm]	D5 [nm]	D6 [nm]	D7 [nm]	DT [°C]	E1 [nm]	E2 [nm]	E3 [nm]	E4 [nm]	E5 [nm]	E6 [nm]	E7 [nm]	E8 [nm]	E9 [nm]	E10 [nm]	E11 [nm]	E12 [nm]	E13 [nm]	E14 [nm]	E15 [nm]	ET [°C]	TempArmário [nm]
0	1684237743	10,00	139,21	168,26	138,46	144,43	110,36	162,74	78,04	25,96	116,65	121,19	61,93	156,68	149,99	158,45	91,33	149,14	31,33	37,47	109,11	113,58	174,04	107,94	105,21	25,75	72,75	156,88	138,65	9,631	67,60	-75,18	301,84	24,88	89,42	73,93	30,46	163,35	134,52	93,61	99,28	71,43	6,865	-57,20	-23,69	57,46	59,41	110,14	332,90	24,84	1525,2	
0,00200	1684237743	10,00	139,01	167,65	138,76	145,03	109,96	162,45	77,06	25,88	116,85	121,70	62,03	157,40	148,98	157,75	91,33	149,24	31,63	37,86	110,00	114,37	174,82	108,23	105,60	25,67	72,75	156,27	139,77	11,14	67,50	-75,58	302,23	24,80	89,93	74,96	30,36	163,86	133,91	92,10	97,87	70,83	6,865	-57,39	-23,50	58,15	61,76	109,85	334,07	24,70	1525,2	
0,00400	1684237743	10,00	139,01	167,14	137,75	144,63	109,16	162,74	77,65	25,82	117,06	122,11	61,42	155,47	149,19	157,24	90,73	149,44	31,53	38,26	108,91	112,89	174,04	106,77	105,50	25,70	72,75	157,29	138,05	11,44	66,80	-75,97	302,43	24,80	89,73	73,73	30,97	163,35	134,52	92,20	98,47	71,03	7,064	-57,79	-23,69	58,54	59,99	108,87	333,78	24,80	1525,2	
0,00600	1684237743	10,00	139,42	168,67	138,25	144,63	108,97	162,94	77,06	26,03	117,06	121,29	60,81	156,79	149,09	157,45	91,33	148,44	31,14	37,57	109,50	114,17	174,53	107,45	104,63	25,75	72,14	157,59	138,65	11,14	66,31	-75,58	301,94	24,93	91,06	73,42	31,17	163,15	134,72	92,60	98,27	71,43	7,064	-57,59	-23,50	57,36	61,17	109,07	334,26	24,78	1525,2	
0,00800	1684237743	60,00	139,52	168,46	137,95	145,13	109,36	162,15	76,96	25,96	116,65	122,01	61,32	156,68	150,50	158,65	92,13	150,04	30,14	37,27	108,42	113,97	173,26	107,36	104,63	25,75	72,75	157,90	137,85	10,53	67,10	-75,18	302,43	24,83	90,14	74,04	31,28	163,25	135,13	93,41	99,28	71,63	7,462	-57,79	-24,09	58,15	60,97	109,07	335,04	24,71	1525,2	
0,01000	1684237743	60,00	140,03	168,26	137,45	145,03	108,17	162,94	77,65	25,93	115,93	121,39	61,42	155,97	149,89	158,25	91,93	148,74	31,33	38,16	109,11	113,97	174,24	107,75	104,34	25,65	72,75	156,27	138,45	10,93	68,60	-75,18	303,02	24,85	90,24	74,34	30,66	163,45	135,33	93,01	99,08	70,83	6,865	-57,00	-24,48	57,75	60,58	109,36	334,07	24,68	1525,2	
0,01200	1684237743	60,00	140,03	167,14	137,75	144,12	108,97	162,15	76,57	25,96	117,06	120,37	61,52	156,58	149,89	158,45	92,13	149,04	31,14	37,86	108,61	114,17	174,82	109,11	105,99	25,75	72,14	157,29	137,85	10,93	66,60	-74,39	302,63	24,88	89,73	74,24	31,17	163,25	136,04	93,01	98,47	70,83	7,661	-57,00	-23,99	57,36	60,78	109,36	333,88	24,84	1525,2	
0,01400	1684237743	60,00	139,72	168,06	138,15	144,63	108,37	162,84	77,45	25,92	116,75	122,31	61,32	156,58	148,88	157,85	91,73	149,64	31,24	38,26	108,61	114,17	175,41	107,36	105,11	25,83	72,75	157,90	138,45	10,93	68,40	-75,08	302,23	24,78	91,47	76,08	30,77	161,83	135,33	92,81	99,28	71,63	7,860	-56,80	-23,99	58,74	62,35	108,68	333,49	24,85	1525,2	
0,01600	1684237743	60,00	139,21	167,45	138,66	145,63	110,16	162,35	77,85	25,83	116,44	122,01	62,64	155,57	149,29	157,85	91,43	149,04	31,73	37,27	109,11	112,40	174,53	107,36	105,99	25,59	73,37	157,90	138,45	10,93	67,60	-74,98	302,43	24,70	90,35	74,96	30,77	163,15	134,62	93,41	98,87	70,43	7,263	-58,19	-24,48	57,16	59,80	108,68	333,10	24,68	1525,2	
0,01800	1684237743	60,00	139,62	167,14	138,36	145,43	109,36	162,94	77,95	26,01	116,65	122,52	61,22	155,97	150,40	159,46	92,33	149,14	31,24	37,86	109,40	113,78	173,06	108,72	105,21	25,74	72,75	155,25	137,95	10,53	67,40	-75,18	302,73	24,93	90,14	75,67	31,17	162,54	135,53	93,61	98,37	71,03	6,865	-56,40	-23,50	57,95	60,78	110,24	334,07	24,83	1525,2	
0,02000	1684237743	60,00	140,54	168,26	137,95	145,43	107,77	162,65	78,63	25,92	117,26	120,58	61,42	155,37	149,09	158,25	91,93	148,24	30,34	37,27	109,70	113,78	174,24	108,14	105,60	25,80	72,75	157,19	138,45	11,54	68,00	-74,49	302,63	24,84	90,55	74,04	31,58	163,45	134,72	93,81	98,57	70,63	7,163	-56,20	-23,50	56,47	60,39	108,48	333,97	24,90	1525,2	
0,02200	1684237743	60,00	139,72	168,06	138,36	143,82	108,77	163,34	76,47	25,96	117,26	120,47	62,03	156,79	148,78	159,26	92,03	148,74	31,14	37,86	108,61	114,47	174,43	108,72	105,31	25,52	73,37	157,59	138,45	11,14	67,50	-74,98	302,63	24,87	91,58	73,32	31,48	163,86	135,02	92,81	98,47	71,03	6,865	-57,79	-23,99	57,95	60,78	108,48	333,49	24,60	1525,2	
