time	ntp_time	seq_number	A1	A2	A3	A4	A5	A6	A7	AT	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	BT	D1	D2	D3	D4	D5	D6	D7	DT	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	ET	TempArmário
0.0	2023-05-16 11:49:03	10.0	139.21	168.26	138.46	144.43	110.36	162.74	78.04	25.96	116.65	121.19	61.93	156.68	149.99	158.45	91.33	149.14	31.33	37.47	109.11	113.58	174.04	107.94	105.21	25.75	72.75	156.88	138.65	9.631	67.6	-75.18	301.84	24.88	89.42	73.93	30.46	163.35	134.52	93.61	99.28	71.43	6.865	-57.2	-23.69	57.46	59.41	110.14	332.9	24.84	1525.2
0.002	2023-05-16 11:49:03	10.0	139.01	167.65	138.76	145.03	109.96	162.45	77.06	25.88	116.85	121.7	62.03	157.4	148.98	157.75	91.33	149.24	31.63	37.86	110.0	114.37	174.82	108.23	105.6	25.67	72.75	156.27	139.77	11.14	67.5	-75.58	302.23	24.8	89.93	74.96	30.36	163.86	133.91	92.1	97.87	70.83	6.865	-57.39	-23.5	58.15	61.76	109.85	334.07	24.7	1525.2
0.004	2023-05-16 11:49:03	10.0	139.01	167.14	137.75	144.63	109.16	162.74	77.65	25.82	117.06	122.11	61.42	155.47	149.19	157.24	90.73	149.44	31.53	38.26	108.91	112.89	174.04	106.77	105.5	25.7	72.75	157.29	138.05	11.44	66.8	-75.97	302.43	24.8	89.73	73.73	30.97	163.35	134.52	92.2	98.47	71.03	7.064	-57.79	-23.69	58.54	59.99	108.87	333.78	24.8	1525.2
0.006	2023-05-16 11:49:03	10.0	139.42	168.67	138.25	144.63	108.97	162.94	77.06	26.03	117.06	121.29	60.81	156.79	149.09	157.45	91.33	148.44	31.14	37.57	109.5	114.17	174.53	107.45	104.63	25.75	72.14	157.59	138.65	11.14	66.31	-75.58	301.94	24.93	91.06	73.42	31.17	163.15	134.72	92.6	98.27	71.43	7.064	-57.59	-23.5	57.36	61.17	109.07	334.26	24.78	1525.2
0.008	2023-05-16 11:49:03	60.0	139.52	168.46	137.95	145.13	109.36	162.15	76.96	25.96	116.65	122.01	61.32	156.68	150.5	158.65	92.13	150.04	30.14	37.27	108.42	113.97	173.26	107.36	104.63	25.75	72.75	157.9	137.85	10.53	67.1	-75.18	302.43	24.83	90.14	74.04	31.28	163.25	135.13	93.41	99.28	71.63	7.462	-57.79	-24.09	58.15	60.97	109.07	335.04	24.71	1525.2
0.01	2023-05-16 11:49:03	60.0	140.03	168.26	137.45	145.03	108.17	162.94	77.65	25.93	115.93	121.39	61.42	155.97	149.89	158.25	91.93	148.74	31.33	38.16	109.11	113.97	174.24	107.75	104.34	25.65	72.75	156.27	138.45	10.93	68.6	-75.18	303.02	24.85	90.24	74.34	30.66	163.45	135.33	93.01	99.08	70.83	6.865	-57.0	-24.48	57.75	60.58	109.36	334.07	24.68	1525.2
0.012	2023-05-16 11:49:03	60.0	140.03	167.14	137.75	144.12	108.97	162.15	76.57	25.96	117.06	120.37	61.52	156.58	149.89	158.45	92.13	149.04	31.14	37.86	108.61	114.17	174.82	109.11	105.99	25.75	72.14	157.29	137.85	10.93	66.6	-74.39	302.63	24.88	89.73	74.24	31.17	163.25	136.04	93.01	98.47	70.83	7.661	-57.0	-23.99	57.36	60.78	109.36	333.88	24.84	1525.2
0.014	2023-05-16 11:49:03	60.0	139.72	168.06	138.15	144.63	108.37	162.84	77.45	25.92	116.75	122.31	61.32	156.58	148.88	157.85	91.73	149.64	31.24	38.26	108.61	114.17	175.41	107.36	105.11	25.83	72.75	157.9	138.45	10.93	68.4	-75.08	302.23	24.78	91.47	76.08	30.77	161.83	135.33	92.81	99.28	71.63	7.86	-56.8	-23.99	58.74	62.35	108.68	333.49	24.85	1525.2
0.016	2023-05-16 11:49:03	60.0	139.21	167.45	138.66	145.63	110.16	162.35	77.85	25.83	116.44	122.01	62.64	155.57	149.29	157.85	91.43	149.04	31.73	37.27	109.11	112.4	174.53	107.36	105.99	25.59	73.37	157.9	138.45	10.93	67.6	-74.98	302.43	24.7	90.35	74.96	30.77	163.15	134.62	93.41	98.87	70.43	7.263	-58.19	-24.48	57.16	59.8	108.68	333.1	24.68	1525.2
0.018	2023-05-16 11:49:03	60.0	139.62	167.14	138.36	145.43	109.36	162.94	77.95	26.01	116.65	122.52	61.22	155.97	150.4	159.46	92.33	149.14	31.24	37.86	109.4	113.78	173.06	108.72	105.21	25.74	72.75	155.25	137.95	10.53	67.4	-75.18	302.73	24.93	90.14	75.67	31.17	162.54	135.53	93.61	98.37	71.03	6.865	-56.4	-23.5	57.95	60.78	110.24	334.07	24.83	1525.2
